No.     Time           Source                Destination           Protocol Length Info
      1 0.000000000    192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
      2 0.003448714    192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
      3 0.153535199    192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=2 Ack=2 Win=245 Len=0 TSval=547826744 TSecr=1521956
    121 27.208112844   192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    123 27.210471749   192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    125 27.360549524   192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=3 Ack=3 Win=245 Len=0 TSval=547833546 TSecr=1524676
    138 29.835992608   192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    139 29.837309582   192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    140 29.987369757   192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=4 Ack=4 Win=245 Len=0 TSval=547834202 TSecr=1524939
    143 33.123984542   192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    144 33.126317154   192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    145 33.276401483   192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=5 Ack=5 Win=245 Len=0 TSval=547835025 TSecr=1525268
    499 220.223806132  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    500 220.226179801  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    501 220.376267733  192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=6 Ack=6 Win=245 Len=0 TSval=547881800 TSecr=1543978
    514 249.022726110  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    515 249.025071841  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    516 249.175156604  192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=7 Ack=7 Win=245 Len=0 TSval=547888999 TSecr=1546858
    519 254.797246001  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    520 254.800840210  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    521 254.950923102  192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=8 Ack=8 Win=245 Len=0 TSval=547890443 TSecr=1547435
    589 276.340272594  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    590 276.343667134  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    591 276.493739082  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    592 276.495816474  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
    593 276.687360895  192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=10 Ack=10 Win=245 Len=0 TSval=547895878 TSecr=1549605
    596 285.763757206  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
    597 285.766030026  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
